name,city,state,original_type,detected_type,estimated_acres,verification_priority,skip_reason,verified_acres,confidence,source,status,notes
Camp Bethel,Fincastle,VA,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Concordia,Grand Rapids-Kentwood,MI,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Dovewood,O'Brien,FL,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Gideon,Atlanta-Sandy Springs-Alpharetta,GA,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Joshuas Camp Corporation,Eau Claire,WI,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Notre Dame,Erie,PA,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
California Coast Music Camp,San Jose-Sunnyvale-Santa Clara,CA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Twin Oaks Ranch Camp,Austin-Round Rock-Georgetown,TX,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Catholic Camp and Conference Ministries of Alaska,Anchorage,AK,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
El Porvenir Christian Camp and Retreat Center,Montezuma,NM,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Living Waters Christian Canoe Camp,Kansas City,MO-KS,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Son-Life Camp and Retreat Center,Grand Rapids-Kentwood,MI,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
New England Frontier Camp Corporation,Lovell,ME,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Camp Anderson Foundation,Springfield,MA,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Valley Haven Camp and Retreat,Hickory-Lenoir-Morganton,NC,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
New Hope Christian Camp and Retreat Center,Platte,SD,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Bethel Christian Camp and Retreat C,Columbia,SC,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Chambers Camp and Retreat Center,Elmira,NY,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
Prairie View Christian Camp,Arkansas City,KS,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Pettijohn Springs Christian Camp,#VALUE!,,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Lake Waubesa Bible Camp,Madison,WI,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Cross Bar X Youth Ranch,Durango,CO,Wellness/Retreat,camp_ranch,0.0,CRITICAL,,,,,,
Camp Lebanon Inc Camp Lebanon Retreat Center,Cincinnati,OH-KY-IN,Wellness/Retreat,camp_ranch,1.0,CRITICAL,,,,,,
