row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
12430,Holy Spirit Retreat Center,holyspiritretreatcenter,holyspiritretreatcenterinc,93.87755102040816,954269099
12431,South Mountain Baptist Camp,southmountainbaptistcamp,southmountainbaptistcampinc,94.11764705882352,522361822
12432,Southgate Foundation,southgatefoundation,southgatefoundationinc,92.6829268292683,760352686
12436,Leadership Alabama,leadershipalabama,leadershipalabamainc,91.89189189189189,631007967
12438,Calvin Crest Camp Conference and Retreat Center,calvincrestcampconferenceandretreatcenter,calvincrestcampconferenceandretreatcenterinc,96.47058823529412,364607814
12444,Rahabs Retreat and Ranch,rahabsretreatandranch,rahabsretreatandranchinc,93.33333333333333,471539952
12446,Camp Beechpoint,campbeechpoint,campbeechpointinc,90.32258064516128,382772829
12449,The Durden Foundation,thedurdenfoundation,theburdenfoundation,94.73684210526316,726030712
12454,Sonscape Re-Creation Ministries,sonscaperecreationministries,sonscaperecreationministriesinc,94.91525423728814,742372030
12458,Dharma Drum Retreat Center,dharmadrumretreatcenter,dharmadrumretreatcenterinc,93.87755102040816,201849707
12459,New Ebenezer Retreat and Conf Center,newebenezerretreatandconfcenter,newebenezerretreatconfcenter,94.91525423728814,581298813
12462,East Texas Baptist Encampent,easttexasbaptistencampent,easttexasbaptistencampment,98.0392156862745,741186292
12469,Galilee Episcopal Camp and Conference Center,galileeepiscopalcampandconferencecenter,galileeepiscopalcampconferencecenterinc,92.3076923076923,880254182
12471,Minnesota Association of Resources for Recovery and Chemical Health,minnesotaassociationofresourcesforrecoveryandchemicalhealth,minnesotaassociationofresourcesforrecoverychemicalhealth,97.3913043478261,411236026
12483,Fellowship of Christians in Action,fellowshipofchristiansinaction,fellowshipofchristiansinactioninc,95.23809523809523,237124986
12485,Homeward Bound USA,homewardboundusa,homewardboundusainc,91.42857142857143,274892529
12490,We Are Better Together Warren Daniel Hairston Proj,wearebettertogetherwarrendanielhairstonproj,wearebettertogetherwarrendanielhairstonprojectinc,93.47826086956522,823856484
12496,Lake View Camp and Conference Center,lakeviewcampandconferencecenter,lakeviewcampconferencecenter,94.91525423728814,421509942
12501,True Vine Christian Services,truevinechristianservices,truevinechristianservicesinc,94.33962264150944,472082699
12503,Adventures of the Heart Ministries,adventuresoftheheartministries,adventuresoftheheartministriesinc,95.23809523809523,582661418
12508,Lutheran Valley Retreat,lutheranvalleyretreat,lutheranvalleyretreatinc,93.33333333333333,846059363
12509,Heritage Retreats,heritageretreats,heritageretreatsinc,91.42857142857143,954892649
12510,The William Holland Retreat,thewilliamhollandretreat,thewilliamhollandretreatinc,94.11764705882352,581558881
12513,Or HaLev Center for Jewish Spirituality Lity and Meditation,orhalevcenterforjewishspiritualitylityandmeditation,orhalevcenterforjewishspiritualityandmeditationinc,93.06930693069306,822531089
12514,Christian Youth Camps,christianyouthcamps,christianyouthcampsinc,92.6829268292683,271303282
12516,Ghormley Meadow Christian Camp and Conference Center,ghormleymeadowchristiancampandconferencecenter,ghormleymeadowchristiancampconferencecenter,96.62921348314607,811020097
12517,In His Steps Ministries,inhisstepsministries,inhisstepsministriesinc,93.02325581395348,640864053
12521,Women in California Leadership,womenincalifornialeadership,womenincalifornialeadershipinc,94.73684210526316,452806199
12522,Maywood Christian Camp,maywoodchristiancamp,maywoodchristiancampinc,93.02325581395348,841643831
12523,St Marys Sewanee A Center for Spiritual Development,stmaryssewaneeacenterforspiritualdevelopment,stmaryssewaneeactrforspiritualdevelopment,96.47058823529412,621359755
12525,Wood Lake Camp and Retreat Center,woodlakecampandretreatcenter,woodlakecampandretreatcenterinc,94.91525423728814,862469732
12527,Grace Retreat Fostercare and Adoption Services,graceretreatfostercareandadoptionservices,graceretreatfostercareandadoptionservicesinc,96.47058823529412,273407836
12534,Pyoca Camp and Retreat Center,pyocacampandretreatcenter,pyocacampandretreatcenterinc,94.33962264150944,871464661
12538,Westminster Woods Camp and Retreat Center,westminsterwoodscampandretreatcenter,westminsterwoodscampandretreatcenterinc,96.0,823956079
12540,Notre Dame Retreat House,notredameretreathouse,notredameretreathouseinc,93.33333333333333,922706584
12543,The Springs Ministries,thespringsministries,thespringsministriesinc,93.02325581395348,383488764
12547,The Christine Center,thechristinecenter,thechristiancenter,94.44444444444444,370726704
12549,Living Waters Retreats,livingwatersretreats,livingwatersretreat,97.43589743589743,271731819
12552,Christian Medical Ministry of South Alabama,christianmedicalministryofsouthalabama,christianmedicalministryofsouthalabalabama,95.0,631259172
12555,Camp Tekakwitha Retreat and Conference Center,camptekakwitharetreatandconferencecenter,camptekakwitharetreatandconferencecenterinc,96.3855421686747,396023507
12556,Shepherds Fold Ranch,shepherdsfoldranch,shepherdsfoldranchinc,92.3076923076923,800966637
12565,Swamp Camp Services,swampcampservices,swampcampservicesinc,91.89189189189189,582381032
12570,Idols Aside Ministries,idolsasideministries,idolsasideministriesinc,93.02325581395348,263803093
12572,The Abbey of the Hills Inn & Retreat Center,theabbeyofthehillsinnretreatcenter,theabbeyofthehillsinnandretreatcenter,95.77464788732395,464176934
12573,Hope Recovery Center,hoperecoverycenter,hoperecoverycarecenter,90.0,824190975
12580,Christian Camps and Conferences-Maine,christiancampsandconferencesmaine,christiancampsconferencesmaineinc,90.9090909090909,260456274
12583,Vista Christian Retreat,vistachristianretreat,vistachristianretreatinc,93.33333333333333,262594052
12587,Whispering Meadows Ranch,whisperingmeadowsranch,whisperingmeadowsranchinc,93.61702127659575,208835282
12591,Shepherds Canyon Retreat,shepherdscanyonretreat,shepherdscanyonretreatinc,93.61702127659575,263930639
12607,Sustainable Faith,sustainablefaith,sustainablefaithinc,91.42857142857143,261451153
12617,Center for Courage and Renewal,centerforcourageandrenewal,centerforcouragerenewal,93.87755102040816,331023228
12624,Wayforward Adventures,wayforwardadventures,wayforwardadventuresinc,93.02325581395348,463863999
12626,Global Youth Ministry,globalyouthministry,globalyouthministryinc,92.6829268292683,593430432
12627,Father Carrs Place 2-b,fathercarrsplace2b,fathercarrsplace2bltd,92.3076923076923,391334342
12630,Harbor Ministries,harborministries,arboministries,93.33333333333333,751763185
12634,Loving Grace Ministries,lovinggraceministries,lovinggraceministriesinc,93.33333333333333,521160024
12641,Kenbrook Bible Camp,kenbrookbiblecamp,kenbrookbiblecampinc,91.89189189189189,232239864
12646,Stillpoint Martha's Vineyard,stillpointmarthasvineyard,stillpointmarthasvineyardinc,94.33962264150944,871043229
12651,American Friends of Yeshivat Hakotel,americanfriendsofyeshivathakotel,americanfriendsofyeshivathakotelinc,95.52238805970148,383984800
12656,Ironwood Springs Christian Ranch,ironwoodspringschristianranch,ironwoodspringschristianranchinc,95.08196721311475,411281157
12658,Siena Retreat Center,sienaretreatcenter,sienaretreatcenterinc,92.3076923076923,272468917
12660,Singing Hills Christian Fellowship,singinghillschristianfellowship,singinghillschristianfellowshipinc,95.38461538461537,237356024
12662,The Revival Center,therevivalcenter,therevivalcenterinc,91.42857142857143,301408068
12663,Leadership Transformation,leadershiptransformation,leadershiptransformationinc,94.11764705882352,010779814
12664,Lutherhaven Camp Association,lutherhavencampassociation,lutherhavencampassociationinc,94.54545454545455,356059591
12671,Inspiration Hills,inspirationhills,inspirationhillsinc,91.42857142857143,391201259
12673,Fishhook International,fishhookinternational,fishhookinternationalinc,93.33333333333333,610620425
12676,Association of St Lawrence - Comunita Cenacolo America,associationofstlawrencecomunitacenacoloamerica,associationofstlawrencecomunitacenacoloamericainc,96.84210526315789,593426484
12680,Longlea Conference Center,longleaconferencecenter,longleaconferencecenterinc,93.87755102040816,020665083
12683,Oakton Foundation,oaktonfoundation,oaktonfoundationinc,91.42857142857143,452196605
12692,Sacred Heart Retreat House,sacredheartretreathouse,sacredheartretreathouseinc,93.87755102040816,113835568
12695,Golden Generation Worship and Retreat,goldengenerationworshipandretreat,goldengenerationworshipandretre,96.875,223137545
12697,Lake Forest Ranch,lakeforestranch,lakeforestranchinc,90.9090909090909,640406178
12699,Lake James Christian Assembly,lakejameschristianassembly,lakejameschristianassemblyinc,94.54545454545455,356001765
12700,Camp Victory Ministries,campvictoryministries,campvictoryministriesinc,93.33333333333333,311710184
12702,Outreach America,outreachamerica,outreachamericainc,90.9090909090909,581514031
12709,The Farmhouse Retreat,thefarmhouseretreat,thefarmhouseretreatinc,92.6829268292683,873179543
12713,Vail Veterans Foundation,vailveteransfoundation,vailveteransfoundationinc,93.61702127659575,205254885
12715,Wabanna Bible Conference Association,wabannabibleconferenceassociation,wabannabibleconferenceassociationinc,95.65217391304348,526049258
12717,Lutherdale Bible Camp,lutherdalebiblecamp,lutherdalebiblecampinc,92.6829268292683,390963472
12718,Sky Ranch at Ute Trail,skyranchatutetrail,skyranchatutetrailinc,92.3076923076923,202579906
12727,St Paul of the Cross Passionist Retreat Center,stpaulofthecrosspassionistretreatcenter,stpaulofthecrosspassionistretreatcenterinc,96.2962962962963,202263326
12729,Hermitage Artist Retreat,hermitageartistretreat,hermitageartistretreatinc,93.61702127659575,300104608
12730,Trimount Foundation,trimountfoundation,trimountfoundationinc,92.3076923076923,046141144
12731,Sri Mathrudevi Vishwashanthi Ashram Trust,srimathrudevivishwashanthiashramtrust,srimathrudevivishwashanthiashramtrustinc,96.1038961038961,232785411
12738,Three Springs Ministries,threespringsministries,threespringsministriesinc,93.61702127659575,251592506
